"gene_accession_id","analysis_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue"
"1919173","15xsb355bh47644","Borcs6","C57BL","Early adult","IMPC_CBC_023_001","alpha-amylase","0.1098135"
"1933169","15xu52009cep8p4","Sacm1l","C57BL","Early adult","JAX_OFD_009_001","whole arena average speed","0.6730275"
"1298386","15y92w6xw8xy2fx","Tpd52l1","C57BL","Early adult","IMPC_GPO_002_001","placenta morphology","0.1636524"
"2138584","15ydlo42vspy796","GIGYF2","C57BL","Early adult","ESLIM_008_001_001","body position","0.8908076"
"2442632","15z72l97obb5oa0","Cacna2d4","C57BL","Early adult","CCP_XRY_011_001","fusion of ribs","0.2477044"
"2442201","15z9439a9eu544g","Adap1","C57BL","Early adult","IMPC_EYE_068_001","left total retinal thickness","0.8681815"
"2443008","15zf23zn47h9379","Trappc8","C57BL","E9.5","IMPC_CBC_023_001","alpha-amylase","0.9992243"
"2447762","1601e1h837bn2gq","Yeats2","C57BL","Middle aged adult","IMPC_CSD_029_001","activity (body position)","0.3884224"
"1924285","1604d47f405h9g7","Kdm8","C57BL","Early adult","IMPC_CSD_028_001","snout size","0.3667028"
"1347090","160guq4qwyc23xe","Anxa10","C57BL","Early adult","UCD_OWT_008_001","liver weight","0.6341563"
"1917377","160l2ku6wt2h8ze","Dpf3","C57BL","Early adult","IMPC_CSD_080_001","head bobbing","0.620016"
"1891214","16107nsstny9eqz","Lhfpl1","C57BL","Early adult","M-G-P_007_001_003","whole arena - resting time","0.4808117"
"1933126","16128h73y6o3a39","Cdk5rap3","C57BL","Early adult","IMPC_CBC_015_001","total cholesterol","0.880011"
"1913743","16159xa5e9m3m0a","Mrpl51","C57BL","Early adult","IMPC_GEL_064_001","somite morphology","0.9551675"
"1923607","161656gfelmw3gc","Trmt5","C57BL","Early adult","ESLIM_011_001_705","global prepulse inhibition","0.6826931"
"2669033","1616kh13c04sr6u","Tmc3","C57BL","Early adult","IMPC_LDT_008_001","percent time in light","0.2728499"
"107372","161qxu2r77v0qs3","Pter","C57BL","Early adult","IMPC_OFD_022_001","percentage center time","0.3720522"
"1913335","1626hatqy489800","Eif3f","C57BL","Early adult","CCP_XRY_010_001","shape of ribs","0.1615647"
"106638","16298c6hbfb2l23","Pla2g2c","C57BL","Early adult","IMPC_EYE_008_001","corneal opacity","0.8632251"
"99178","16326648424ln4g","Zfp30","C57BL","Early adult","HRWLIP_CSD_032_001","locomotor activity","0.1939439"
"1914296","1635h49z396s9si","Tbc1d7","C57BL","E18.5","ESLIM_015_001_010","phosphorus","0.2132538"
"1921740","1637cn42qr6oail","Mamstr","C57BL","Early adult","IMPC_EYE_023_001","optic disc","0.5821405"
"1920500","163xq15z2060ea9","Ceacam5","C57BL","Early adult","JAX_OFD_020_001","distance travelled - total","0.4032659"
"2158468","1641p7y972sz52x","Ms4a3","C57BL","Early adult","UCD_OWT_002_001","heart weight","0.517158"
"97308","1644c81975976zh","Nfe2","C57BL","Early adult","IMPC_OFD_012_001","periphery permanence time","0.09326984"
"1915878","1647y4er7z03ccc","Fbxw9","C57BL","Early adult","IMPC_CBC_014_001","alkaline phosphatase","0.8392405"
"3605773","164xrss28zujev9","Cimip2a","C57BL","Early adult","IMPC_GEO_011_001","blood vessel morphology","0.06606502"
"2138584","16502l289cg620z","Gigyf2","C57BL","Early adult","CCP_XRY_010_001","shape of ribs","0.2508146"
"94903","165163ux4gpq666","Dlx3","C57BL","E9.5","CCP_IMM_032_002","effector cd8+ t cells - % of live leukocytes","0.6933208"
"1920845","1653hy7z43v6l9j","Ttll13","C57BL","Early adult","MGP_CSD_023_001","dorsal coat/hair appearance","0.4258046"
"96136","16560ijhzi1k9wp","Hmgn2","C53BL","","IMPC_EYE_013_001","pupil dilation","0.5330366"
"2447762","165cmcqp1k71p2t","Yeats2","C57BL","Early adult","IMPC_OFD_022_001","percentage center time","0.6255367"
"1917678","165lf964199c1mv","Polr3b","C57BL","E9.5","IMPC_EYE_026_001","retinal blood vessels pattern","0.7636339"
"1922684","165w2891rb41uq5","Cimip2c","C57BL","Early adult","IMPC_HEM_001_001","white blood cell count","0.7444484"
"94903","16612m18jl9u93u","Dlx3","C57BL","E9.5","IMPC_CBC_011_001","iron","0.2838714"
"1917633","16649o3x6qfv7l2","Cox10","C57BL","E9.5","IMPC_CBC_028_001","creatine kinase","0.1413642"
"97166","1667n3kl382mcd6","Msmb","C57BL","Early adult","ESLIM_011_001_009","pp3 + pulse startle magnitude","0.7723597"
"1860075","166b08dglthg04s","Ppt2","C57BL","Early adult","IMPC_DXA_005_001","bone mineral content (excluding skull)","0.2383721"
"3647046","166de64e015bl2s","Tmem170b","C57BL","Early adult","IMPC_ECH_003_001","stroke volume","0.6875604"
"1917633","166f68j90913pxh","Cox10","C57BL","Early adult","IMPC_EYE_062_001","right total retinal thickness","0.6201044"
"1101768","166ke4930xloy5v","H3f3b","C57BL","Early adult","IMPC_EYE_065_001","right posterior chamber depth","0.1107134"
"107444","16707qb67z7onw7","Efna5","C57BL","Early adult","IMPC_CSD_028_001","snout size","0.571493"
"99779","1670ng33hww499z","Chrna7","C57BL","Early adult","TCP_CHL_071_001","baseline inspiratory time","0.5102268"
"1913346","167r17ow4203b78","Lamtor4","C57BL","Early adult","IMPC_XRY_019_001","fusion of vertebrae","0.8830724"
"2137913","16802rw70x290k6","Loxl2","C57BL","Early adult","IMPC_GEL_042_001","otic vesicle morphology","0.1004217"
"94903","168b27128tx1415","Dlx3","C57BL","Early adult","IMPC_GEO_009_002","hemorrhage","0.730888"
"1933169","169aqtj4x18txna","Sacm1l","C57BL","E9.5","IMPC_EYE_056_001","mean left eye lens density","0.248618"
"2447762","169ls862ct43351","Yeats2","C57BL","Middle aged adult","IMPC_CBC_023_001","alpha-amylase","0.5997337"
"3647046","169s64891z6m748","Tmem170b","C57BL","Early adult","MGP_IMM_100_001","resting nk cells - % of cd45+","0.7429184"
"2447762","169x0z93l04on8v","Yeats2","C57BL","Late adult","HRWLIP_CSD_077_001","contact righting","0.392236"
"2685720","16a06ju5fb2b50c","Acss3","C57BL","Early adult","ESLIM_011_001_009","pp3 + pulse startle magnitude","0.1002469"
"96136","16agedd74724uw0","Hmgn2","C57BL","E12.5","IMPC_EYE_068_001","left total retinal thickness","0.607482"
"3647046","16ai584lt20w3yr","Tmem170b","C57BL","Early adult","JAX_OFD_009_001","whole arena average speed","0.9997415"
"99779","16b4b5zi3667gol","Chrna7","C57BL","Early adult","IMPC_GEL_057_001","heart looping","0.8745618"
"2442201","16b5qfgoa98u88z","Adap1","C57BL","Early adult","TCP_CHL_081_001","baseline enhanced pause","0.5956712"
"2443008","16btd576k862an4","Trappc8","C57BL","Early adult","IMPC_CSD_032_001","locomotor activity","0.2206124"
"1336213","16cuxvg89ca2p13","Mybpc1","C57BL","Early adult","M-G-P_007_001_003","whole arena - resting time","0.1889259"
"107372","16dc2y328xyz524","Pter","C57BL","Early adult","JAX_OFD_021_001","number of rears - total","0.8029165"
"1913743","16dxt57a03m35e2","Mrpl51","C57BL","E12.5","IMPC_GRS_008_001","forelimb grip strength measurement mean","0.8258539"
"1930618","16e445v0vxs055c","Krit1","C57BL","E9.5","CCP_XRY_010_001","shape of ribs","0.2843984"
"1927665","16f4at1hoqk8osu","Sirt3","C57BL","Early adult","IMPC_HEM_032_001","lymphocyte cell count","0.05061668"
"1933169","16fmte9j0410792","Sacm1l","C57BL","Early adult","IMPC_CSD_029_001","activity (body position)","0.4140841"
"97749","16ga2un905nr6b6","Ppia","C57BL","Early adult","IMPC_EYE_063_001","right inner nuclear layer","0.3142831"
"1913367","16gio37i7yv8di0","Fmc1","C57BL","E15.5","JAX_OFD_009_001","whole arena average speed","0.8728729"
"2143990","16jrk13k252b4l1","Parp12","C57BL","Early adult","IMPC_EYE_013_001","pupil dilation","0.09894421"
"1917678","16khvu4rwhb3fk3","Polr3b","C57BL","Early adult","ESLIM_011_001_008","pp2 + pulse startle magnitude","0.4579612"
"1921740","16krzcb62dr6s75","Mamstr","C57BL","Early adult","IMPC_CBC_017_001","triglycerides","0.4674147"
"1930618","16ltme824dh2726","Krit1","C57BL","E12.5","IMPC_GEO_047_002","microphthalmia","0.7909209"
"3700200","16m08obs499w637","Ift70a2","C57BL","Early adult","IMPC_OFD_017_001","center average speed","0.2415319"
"1929865","16nfeo20zio534s","Nampt","C57BL","E12.5","IMPC_XRY_019_001","fusion of vertebrae","0.7678077"
"94919","16nkdo7w8s1xi07","Dpp4","C57BL","Early adult","TCP_CHL_071_001","baseline inspiratory time","0.5425777"
"1891214","16o4o1f864fnjob","Lhfpl1","C57BL","Early adult","IMPC_OFD_016_001","center permanence time","0.4859058"
"1347090","16ofupjcc7zs75g","Anxa10","C57BL","Early adult","IMPC_CBC_023_001","alpha-amylase","0.5005058"
"1352449","16p9699p5a19hi6","Cxcl9","C57BL","Early adult","IMPC_DXA_002_001","fat mass","0.7830622"
"106638","16q9mr80tk98g2c","Pla2g2c","C57BL","Early adult","ESLIM_015_001_010","phosphorus","0.3320072"
"894310","16r4hympm66b0e0","Septin8","C57BL","Early adult","MGP_IMM_100_001","resting nk cells - % of cd45+","0.07809539"
"2679007","16r6aq2ou3pwuqt","Elmo3","C57BL","Early adult","IMPC_FEA_015_001","cue baseline % freezing time","0.6452171"
"1913367","16rg7x3by68z71v","Fmc1","C57BL","E18.5","IMPC_OFD_016_001","center permanence time","0.8675864"
"97308","16sqe336149ggr4","Nfe2","C57BL","Early adult","IMPC_OFD_022_001","percentage center time","0.3191341"
"94903","16ssao3486me027","Dlx3","C57BL","Early adult","IMPC_EYE_014_001","pupil light response","0.2917227"
"2444298","16t2zny7krcx13s","G2e3","C57BL","Early adult","IMPC_CSD_078_001","vocalization","0.1062948"
"2447762","16tyn95uvjq7v78","Yeats2","C57BL","E9.5","IMPC_OFD_007_001","whole arena resting time","0.714959"
"1930618","16u464505s91w27","Krit1","C57BL","E9.5","M-G-P_007_001_007","periphery - resting time","0.3758888"
"1924136","16ua1qdpqy5o8ct","Fam81a","C57BL","Early adult","IMPC_CBC_016_001","hdl-cholesterol","0.3798849"
"2384812","16v289086xp62jr","Lpcat1","C57BL","Early adult","IMPC_ACS_034_001","% pre-pulse inhibition - ppi2","0.4957731"
"1930618","16v7c6qhg22k828","Krit1","C57BL","Early adult","IMPC_EYE_016_001","lens","0.2651221"
"1858752","16wmqmd7882lg0l","Rundc3a","C57BL","Early adult","IMPC_DXA_002_001","fat mass","0.7720475"
"1933946","16ynin8n2hqp2j8","Ptov1","C57BL","Early adult","IMPC_GEL_027_001","neural tube closure","0.3337168"
"1919173","1702wqh88q6e6p8","Borcs6","C57BL","E9.5","CCP_XRY_011_001","fusion of ribs","0.8350015"
"1924285","170rblp9a676o6r","Kdm8","C57BL","Early adult","ESLIM_008_001_013","startle response","0.0831851"
"2447762","170t918v2kx0i34","Yeats2","C57BL","Late adult","IMPC_CSD_030_001","tremor","0.9442638"
"2385891","171kc7tdx3qxfrb","Zc3h12a","C57BL","Early adult","IMPC_ACS_037_001","% pre-pulse inhibition - global","0.2092221"
"1927594","171or5b9i438zq1","Itm2c","C57BL","Early adult","IMPC_GEP_005_002","responsive to tactile stimuli","0.6044443"
"107372","171x7ufg5m4ct22","Pter","C57BL","Early adult","IMPC_GRS_010_001","forelimb grip strength normalised against body weight","0.9815579"
"109242","1721jc674j1cw3o","Spin1","C57BL","E12.5","JAX_OFD_021_001","number of rears - total","0.8364593"
"1917678","17255565j6lnytg","Polr3b","C57BL","E9.5","IMPC_CBC_015_001","total cholesterol","0.09832272"
"1927594","172g57b6p985p67","Itm2c","C57BL","Early adult","IMPC_CSD_039_001","limb grasp","0.1946987"
"94903","172k35qok6123h4","Dlx3","C57BL","E15.5","IMPC_CSD_010_001","coat - color pattern - abdomen","0.8865831"
"1920845","1731gu1452284p9","Ttll13","C57BL","Early adult","CCP_XRY_064_001","thoracic processes","0.859554"
"1924285","1736ikn6t5fa9bh","Kdm8","C57BL","Early adult","IMPC_CBC_011_001","iron","0.398151"
"2151153","173828co4yl2l41","Boc","C57BL","Early adult","IMPC_GPO_003_001","placenta vasculature","0.5126429"
"1917678","17423ulrq16ly0p","Polr3b","C57BL","E12.5","UCD_OWT_008_001","liver weight","0.2947641"
"1933388","1743yki5o6cwt2y","Bicc1","C57BL","E9.5","IMPC_EYE_067_001","left anterior chamber depth","0.6563234"
"1933169","1747gs20fzser5w","Sacm1l","C57BL","E12.5","M-G-P_008_001_013","startle response","0.2173067"
"2442632","1748186gn1ldzvc","Cacna2d4","C57BL","Early adult","IMPC_EYE_092_001","retina (combined)","0.00000002172021"
"98386","174dcs29wp8966p","Sptan1","C57BL","Early adult","IMPC_OFD_016_001","center permanence time","0.2456952"
"1913743","174s4kd81830c8b","Mrpl51","C57BL","E12.5","IMPC_OFD_009_001","whole arena average speed","0.4804504"
"","174w92107355r87","","C57BL","Early adult","IMPC_HEM_029_001","neutrophil differential count","0.6252988"
"1917315","1750t2w1973l7uw","Ankrd60","C57BL","Early adult","IMPC_HEM_003_001","hemoglobin","1"
"2447762","1751787j996pd8m","Yeats2","C57BL","Late adult","IMPC_OFD_022_001","percentage center time","0.4669841"
"104709","17529gj3l3fb0pm","Wbp2","C57BL","Early adult","MGP_IMM_033_001","total nk cells - % of cd45+","0.1034062"
"97308","175xl7zfr6bd2l8","Nfe2","C57BL","Early adult","UCD_OWT_004_001","left kidney","0.8782829"
"1919173","17629t6ey89ddgn","Borcs6","C57BL","E9.5","JAX_OFD_010_001","periphery distance travelled","0.06395154"
"1860083","17688249t73c678","Cd320","C57BL","Early adult","IMPC_GRS_011_001","forelimb and hindlimb grip strength normalised against body weight","0.2384654"
"1929865","176qw2g17yr9o7p","Nampt","C57BL","E9.5","HRWLIP_CSD_077_001","contact righting","0.1900695"
"1923607","176t9w0163m3r8e","Trmt5","C57BL","E9.5","IMPC_EYE_058_001","max right eye lens density","0.1043669"
"1921740","17751u36xulmsp7","Mamstr","C57BL","Early adult","IMPC_XRY_019_001","fusion of vertebrae","0.1970012"
"1929865","17766lf26p31m5i","Nampt","C57BL","E9.5","HRWLLA_CBC_010_001","phosphorus","0.2749593"
"1914296","177gv9726j4jrz0","Tbc1d7","C57BL","E18.5","IMPC_EYE_007_001","cornea","0.4250463"
"3647046","17896avbw95wa63","Tmem170b","C57BL","Early adult","IMPC_OFD_050_001","percentage center movement time","0.9551445"
"1336213","178c0j238zon20m","Mybpc1","C57BL","Early adult","IMPC_EYE_092_001","retina (combined)","0.4783461"
"2384812","178e494qr968908","Lpcat1","C57BL","Early adult","IMPC_CSD_061_001","skin color - tail","0.1884032"
"1927665","178vt7ab4457f7p","Sirt3","C57BL","Early adult","IMPC_EYE_008_001","corneal opacity","0.7494843"
"1349660","178z723cx4zme7w","Pla2g2e","C57BL","Early adult","IMPC_GRS_011_001","forelimb and hindlimb grip strength normalised against body weight","0.4941179"
"1920845","1795vaivg5jes6e","Ttll13","C57BL","Early adult","IMPC_EYE_065_001","right posterior chamber depth","0.811871"
"2669033","179jk3co15gl02k","Tmc3","C57BL","Early adult","IMPC_CSD_032_001","locomotor activity","0.1939989"
"1933169","17a51ctj9378u25","Sacm1l","C57BL","Early adult","IMPC_HEM_003_001","hemoglobin","0.9861046"
"1930618","17a51yj68glfxio","Krit1","C57BL","E12.5","JAXLA_CSD_007_001","coat - color - abdomen","0.9230571"
"1915513","17b649622zm666m","Pdhb","C57BL","E12.5","IMPC_DXA_008_001","lean/body weight","0.6346844"
"1921740","17dbyk149482fj3","Mamstr","C57BL","Early adult","UCD_OWT_004_001","left kidney","0.4121225"
"106638","17dj8ag70d16kfa","Pla2g2c","C57BL","Early adult","IMPC_GRS_010_001","forelimb grip strength normalised against body weight","0.6121188"
"108424","17dn03gr3s6461k","IRAG2","C57BL","Early adult","UCD_OWT_005_001","right kidney","0.784787"
"1920500","17e3886a88coc4a","Ceacam5","C57BL","Early adult","CCP_XRY_064_001","thoracic processes","0.4937536"
"2442201","17e9648o0e4jsol","Adap1","C57BL","Early adult","ESLIM_016_001_001","white blood cell count","0.9113412"
"1917678","17e9vr2261e42bh","Polr3b","C57BL","Early adult","IMPC_CBC_012_001","aspartate aminotransferase","0.6100771"
"1202715","17fo55m950f8ef9","Tcf21","C57BL","E15.5","HRWLIP_CSD_032_001","locomotor activity","0.5756757"
"96136","17g6x3g77q4g9i7","Hmgn2","C57BL","E12.5","TCP_CHL_081_001","baseline enhanced pause","0.4176448"
"103258","17g77z4veq042un","Adad1","C57BL","Early adult","JAX_OFD_007_001","whole arena resting time","0.5054839"
"1914296","17gf6tik24i906j","Tbc1d7","C57BL","Early adult","IMPC_OFD_007_001","whole arena resting time","0.4063972"
"1917377","17h439q71879317","Dpf3","C57BL","Early adult","IMPC_HEM_019_001","mean platelet volume","0.349418"
"1345633","17j27981ev67sqi","Mars1","C57BL","Early adult","IMPC_GEL_058_001","heart morphology","0.669295"
"94903","17k899u1y1565hn","Dlx3","C57BL","Early adult","JAX_OFD_009_001","whole arena average speed","0.7094941"
"96743","17l333f8z60pv09","Lamb1","C57BL","Early adult","IMPC_OFD_007_001","whole arena resting time","0.8529077"
"2385891","17n7a0p8e7c9j8r","Zc3h12a","C57BL","Early adult","ESLIM_011_001_007","pp1 + pulse startle magnitude","0.9426106"
"1858752","17nu6h98xxjj3g0","Rundc3a","C57BL","Early adult","IMPC_GEL_058_001","heart morphology","0.05304044"
"1922684","17o3i8p9u5u5632","Cimip2c","C57BL","Early adult","IMPC_CBC_006_001","total protein","0.9896"
"1924136","17o683vvt1v4c6z","Fam81a","C57BL","Early adult","IMPC_DXA_010_001","bone area","1"
"2138584","17ojg2rc2y768n6","Gigyf2","C57BL","Early adult","M-G-P_007_001_007","periphery - resting time","0.1661144"
"1933169","17q57wg8bh141ex","Sacm1l","C57BL","E9.5","HRWLIP_CSD_032_001","locomotor activity","0.07841326"
"1930618","17q6e267pg436fz","Krit1","C57BL","Early adult","IMPC_ACS_035_001","% pre-pulse inhibition - ppi3","0.9380517"
"1347354","17qw105o8uqi2j7","Homer2","C57BL","Early adult","IMPC_GEL_058_001","heart morphology","0.7767734"
"97308","17rs44gv6b73y7g","Nfe2","C57BL","Early adult","IMPC_CBC_015_001","total cholesterol","0.5287317"
"1913743","17rz78qcc6s1fth","Mrpl51","C57BL","E9.5","IMPC_GEP_005_002","responsive to tactile stimuli","0.4980071"
"1920845","17s65qke53spe79","Ttll13","C57BL","Early adult","IMPC_CSD_032_001","locomotor activity","0.509687"
"1202715","17t05a3qw000a5b","Tcf21","C57BL","E15.5","IMPC_ABR_008_001","18khz-evoked abr threshold","0.9420805"
"2137681","17t4d25rtl3pwgo","Sfxn5","C57BL","Early adult","IMPC_CSD_033_001","gait","0.2159919"
"99779","17tf04463w04871","Chrna7","C57BL","Early adult","MGP_IMM_100_001","resting nk cells - % of cd45+","0.9081929"
"2137913","17tn449l07b4f7p","Loxl2","C57BL","Early adult","IMPC_OFD_013_001","periphery average speed","0.06207099"
"2447762","17u4cs4ik694f8q","Yeats2","C57BL","Late adult","IMPC_EYE_025_001","retinal blood vessels structure","0.5697514"
"95748","17u885guj6d6201","Glra2","C57BL","Early adult","CCP_XRY_001_001","skull shape","0.1386356"
"1349660","17vsmw033z0a030","Pla2g2e","C57BL","Early adult","CCP_XRY_001_001","skull shape","0.2011498"
"1923607","17vx773py9546kd","Trmt5","C57BL","Early adult","IMPC_ECG_007_001","qrs","0.6296553"
"1920845","17w583k72gip4us","Ttll13","C57BL","Early adult","IMPC_CBC_003_001","chloride","0.3768513"
"1919173","17wu0a7cr803835","Borcs6","C57BL","E9.5","IMPC_OFD_050_001","percentage center movement time","0.4815512"
"2137913","17x56386u943242","Loxl2","C57BL","Early adult","IMPC_EYE_012_001","pupil shape","0.8176418"
"1913346","1801k11930l5278","Lamtor4","C57BL","Early adult","IMPC_EYE_026_001","retinal blood vessels pattern","0.9442966"
"1927594","1801sd64gl406eu","Itm2c","C57BL","Early adult","ESLIM_008_001_001","body position","0.1947019"
"96136","18076008m0p917v","Hmgn2","C57BL","","IMPC_GEL_058_001","heart morphology","0.5990256"
"1921116","180l55t77x7f48k","Pabir3","C57BL","Early adult","IMPC_HEM_037_001","basophil cell count","0.8180722"
"97361","180o640z1397kv3","Nos2","C57BL","Early adult","JAX_OFD_021_001","number of rears - total","0.4386431"
"1915513","180od48298u5ay5","Pdhb","C57BL","E12.5","IMPC_GEL_029_001","midbrain","0.5252521"
"106638","180sl1o0u01p1d8","Pla2g2c","C57BL","Early adult","IMPC_XRY_019_001","fusion of vertebrae","0.2438849"
"94903","180ymyijd1502wy","Dlx3","C57BL","Early adult","ESLIM_015_001_010","phosphorus","0.9600507"
"97166","181g69z63o14p20","Msmb","C57BL","Early adult","IMPC_HEM_030_001","neutrophil cell count","0.4374085"
"94919","181kjiuw4tpr5c0","Dpp4","C57BL","Early adult","IMPC_EYE_067_001","left anterior chamber depth","0.2201163"
"1930618","182195l77v2qqax","Krit1","C57BL","Early adult","IMPC_OFD_010_001","periphery distance travelled","0.835037"
"107444","18272w9641e8a2q","Efna5","C57BL","Early adult","JAX_OFD_020_001","distance travelled - total","0.2448266"
"1923607","1827f1a4vl52q1k","Trmt5","C57BL","Early adult","IMPC_GEL_027_001","neural tube closure","0.8430555"
"1917678","18286x75y872c70","Polr3b","C57BL","E9.5","IMPC_OFD_015_001","center resting time","0.1606407"
"1330861","1828w93gq7is60a","Dclk1","C57BL","Early adult","IMPC_EYE_065_001","right posterior chamber depth","0.2417235"
"2679007","1829v0w764516lp","Elmo3","C57BL","Early adult","ESLIM_011_001_010","pp4 + pulse startle magnitude","0.3719607"
"99178","182fqwhnghaihd2","Zfp30","C57BL","Early adult","IMPC_XRY_019_001","fusion of vertebrae","0.7908034"
"1913743","182z691mg16n656","Mrpl51","C57BL","Early adult","IMPC_CSD_029_001","activity (body position)","0.3436592"
"1915513","183g415079l935g","Pdhb","C57BL","E9.5","IMPC_GEO_069_001","delayed embryonic development","0.05414823"
"1352449","18441dixvy5s63g","Cxcl9","C57BL","Early adult","JAX_OFD_020_001","distance travelled - total","0.7716231"
"2143990","1844r21067h0899","Parp12","C57BL","Early adult","IMPC_GEL_027_001","neural tube closure","0.1331837"
"2151153","1849n08kl8bf97p","Boc","C57BL","Early adult","M-G-P_008_001_013","startle response","0.5509507"
"2447762","184e5n78i8693is","Yeats2","C51BL","Early adult","ESLIM_008_001_014","touch escape","0.4858342"
"1913367","184g1el1q79unq8","Fmc1","C57BL","E15.5","IMPC_CSD_010_001","coat - color pattern - abdomen","0.771184"
"1919173","184g69f0607v556","Borcs6","C57BL","E9.5","IMPC_EYE_016_001","lens","0.231343"
"109167","184kkfo7wt08j6f","Fgf11","C57BL","Early adult","IMPC_GEP_017_001","facial morphology","0.3867609"
"1933169","1856gj09h7g2irc","Sacm1l","C57BL","Early adult","IMPC_EYE_065_001","right posterior chamber depth","0.6553714"
"94919","1857tej8j189j4i","Dpp4","C57BL","Early adult","CCP_IMM_032_002","effector cd8+ t cells - % of live leukocytes","0.3760195"
"98386","185ty85kj220v79","Sptan1","C57BL","E9.5","IMPC_GEL_060_001","neural tube morphology","0.9402898"
"1923607","185wjy9242zb1o6","Trmt5","C57BL","E9.5","IMPC_ECG_007_001","qrs","0.13941"
"2384860","1860tmy99lgx119","Slc44a3","C57BL","Early adult","IMPC_CSD_028_001","snout size","0.4774745"
"1100867","1861fi33zf9819z","Asic2","C57BL","Early adult","M-G-P_007_001_003","whole arena - resting time","0.489887"
"97166","1863vj407voqx38","MSMB","C57BL","Early adult","IMPC_OFD_009_001","whole arena average speed","0.8761293"
"2442192","18672170236bcu3","Eea1","C57BL","Early adult","IMPC_HEM_033_001","monocyte differential count","0.7987368"
"1919173","18685mb7h9n30fe","Borcs6","C57BL","E9.5","IMPC_GEO_015_001","head shape","0.4850899"
"1919173","186mj3f01lnohlm","Borcs6","C57BL","Early adult","IMPC_GEP_018_002","facial cleft","0.862791"
"1100867","186q2n2yqul05mj","Asic2","C57BL","Early adult","IMPC_CBC_058_001","cholesterol ratio","0.7567592"
"97308","186rqp0i4txy6b6","Nfe2","C57BL","Early adult","IMPC_HEM_003_001","hemoglobin","0.9127835"
"1347354","187756ukt9a7m13","Homer2","C57BL","Early adult","IMPC_EYE_012_001","pupil shape","0.3376971"
"98386","187ch62qv0z24yv","Sptan1","C57BL","E15.5","IMPC_OFD_050_001","percentage center movement time","0.483707"
"1922684","187fm06tc47zh22","Cimip2c","C57BL","Early adult","JAX_OFD_010_001","periphery distance travelled","0.9519543"
"1933946","187w30js149e01d","Ptov1","C57BL","E18.5","IMPC_GEP_017_001","facial morphology","0"
"2447762","1889586n31y1my5","Yeats2","C57BL","Early adult","IMPC_IPG_012_001","area under glucose response curve","0.6963724"
"1927594","188h2jlw667c8n0","Itm2c","C57BL","Early adult","UCD_OWT_029_001","body length","0.5796625"
"2137913","188h617kbdia5k8","Loxl2","C57BL","Early adult","IMPC_CSD_030_001","tremor","0.1877919"
"107372","188sh357389u968","Pter","C57BL","Early adult","IMPC_GEL_057_001","heart looping","0.9470857"
"1915094","188yld3z217774j","Rab32","C57BL","Early adult","IMPC_CBC_023_001","alpha-amylase","0.325541"
"96743","18913s4d368nekm","Lamb1","C57BL","Early adult","CCP_XRY_064_001","thoracic processes","0.5195042"
"99510","1896nb62fho8u0l","Tmsb4x","C57BL","Early adult","ESLIM_007_001_007","periphery resting time","0.7357169"
"1923607","189zpxh9p605506","Trmt5","C57BL","Early adult","UCD_OWT_008_001","liver weight","0.5518042"
"2448415","18aor12576zu496","H2bc21","C57BL","E18.5","IMPC_EYE_059_001","mean right eye lens density","0.6079447"
"2384860","18c5985u6494k07","Slc44a3","C57BL","Early adult","JAXLA_CSD_077_001","contact righting","0.0536083"
"1933169","18d1282e9a62h77","Sacm1l","C57BL","Early adult","HRWL_OWT_001_001","spleen weight","0.8413295"
"96136","18dg4i6enk0y33t","Hmgn2","C57BL","E12.5","IMPC_DXA_002_001","fat mass","0.2243089"
"1927665","18ee38bxn69613t","Sirt3","C57BL","Early adult","HRWLIP_CSD_077_001","contact righting","0.2634819"
"103258","18f661f5vai4t94","Adad1","C57BL","Early adult","IMPC_ACS_034_001","% pre-pulse inhibition - ppi2","1"
"1927665","18g30bywdt14002","Sirt3","C57BL","Early adult","IMPC_OFD_007_001","whole arena resting time","0.2428534"
"109242","18g9dug9i87x609","Spin1","C57BL","E12.5","IMPC_EYE_014_001","pupil light response","0.8086104"
"1933169","18h2d1w53v45n45","Sacm1l","C57BL","E9.5","ESLIM_022_001_001","body weight","0.05081764"
"1330861","18hhv0rah8qnqc4","Dclk1","C59BL","Early adult","IMPC_EYE_056_001","mean left eye lens density","0.4657469"
"1915878","18i23101440tf1s","Fbxw9","C57BL","Early adult","ESLIM_007_001_007","periphery resting time","0.5668323"
"1920500","18i32u844k43e51","Ceacam5","C57BL","Early adult","IMPC_GEP_024_001","body wall morphology","0.4543726"
"2143990","18i99yb2b0s73s9","Parp12","C57BL","Early adult","IMPC_CBC_009_001","calcium","0.3338912"
"1917633","18ihec7v9070und","Cox10","C57BL","Early adult","ESLIM_008_001_003","defecation","0.4522387"
"2447762","18iz1puw81h868u","Yeats2","C57BL","E9.5","IMPC_ECG_007_001","qrs","0.2466029"
"2384860","18k58ej4wpw298t","Slc44a3","C57BL","Early adult","CCP_XRY_011_001","fusion of ribs","0.530445"
"108424","18k903406x8m40r","Irag2","C57BL","Early adult","IMPC_GEO_011_001","blood vessel morphology","0.6808241"
"2143990","18m435macy79s28","Parp12","C57BL","Early adult","IMPC_DXA_006_001","body length","0.4984709"
"1933388","18m5513pk1kb08x","Bicc1","C57BL","E9.5","M-G-P_008_001_013","startle response","0.9356083"
