"parameter_id","impc_parameter_orig_id","name","description"
"IMPC_EXD_057_001","39044"," instrumentation effects - hematology","instrumentation effects hematology"
"IMPC_EXD_058_001","39045"," instrumentation effects - clinical chemistry","instrumentation effects clinical chemistry"
"IMPC_EXD_059_001","39046"," instrumentation effects - immunophenotyping","instrumentation effects immunophenotyping"
"IMPC_EXD_060_001","39047"," instrumentation effects - open field","instrumentation effects open field"
"IMPC_EXD_061_001","39048"," instrumentation effects - ecg","instrumentation effects ecg"
"IMPC_EXD_062_001","39049"," instrumentation effects - echo","instrumentation effects echo"
"IMPC_EXD_063_001","39050"," instrumentation effects - plethysmography","instrumentation effects plethysmography"
"IMPC_EXD_064_001","39051"," instrumentation effects - gross pathology","instrumentation effects gross pathology"
"IMPC_EXD_065_001","39052"," instrumentation effects - insulin","instrumentation effects insulin"
"IMPC_EXD_066_001","39053"," instrumentation effects - embryo lac z","instrumentation effects embryo lac z"
"IMPC_EXD_067_001","39054"," instrumentation effects - adult lac z","instrumentation effects adult lac z"
"IMPC_EXD_068_001","39055"," instrumentation effects - x-ray","instrumentation effects x ray"
"IMPC_EXD_069_001","39056"," operator effects - body weight","operator effects body weight"
"IMPC_EXD_070_001","39057"," operator effects - open field","operator effects open field"
"IMPC_EXD_071_001","39058"," operator effects - csd","operator effects csd"
"IMPC_EXD_072_001","39059"," operator effects - grip strength","operator effects grip strength"
"IMPC_EXD_073_001","39060"," operator effects - acoustic startle","operator effects acoustic startle"
"IMPC_EXD_074_001","39061"," operator effects - calorimetry","operator effects calorimetry"
"IMPC_EXD_075_001","39062"," operator effects - ipgtt","operator effects ipgtt"
"IMPC_EXD_076_001","39063"," operator effects - abr collection","operator effects abr collection"
"IMPC_EXD_077_001","39064"," operator effects - abr annotation","operator effects abr annotation"
"IMPC_EXD_078_001","39065"," operator effects - dexa","operator effects dexa"
"IMPC_EXD_079_001","39066"," operator effects - x-ray imaging","operator effects x ray imaging"
"IMPC_EXD_080_001","39067"," operator effects - x-ray annotation","operator effects x ray annotation"
"IMPC_EXD_081_001","39068"," operator effects - slit lamp","operator effects slit lamp"
"IMPC_EXD_082_001","39069"," operator effects - ophthalmoscope","operator effects ophthalmoscope"
"IMPC_EXD_083_001","39070"," operator effects - hematology","operator effects hematology"
"IMPC_EXD_084_001","39071"," operator effects - clinical chemistry","operator effects clinical chemistry"
"IMPC_EXD_085_001","39072"," operator effects - immunophenotyping collection","operator effects immunophenotyping collection"
"IMPC_EXD_086_001","39073"," operator effects - immunophenotyping analysis","operator effects immunophenotyping analysis"
"IMPC_EXD_087_001","39074"," operator effects - heart weight","operator effects heart weight"
"IMPC_EXD_088_001","39075"," operator effects - gross pathology collection","operator effects gross pathology collection"
"IMPC_EXD_089_001","39076"," operator effects - gross pathology annotation","operator effects gross pathology annotation"
"IMPC_EXD_090_001","39077"," operator effects - ecg","operator effects ecg"
"IMPC_EXD_091_001","39078"," operator effects - echo","operator effects echo"
"IMPC_EXD_092_001","39079"," operator effects - plethysmography","operator effects plethysmography"
"IMPC_EXD_093_001","39080"," operator effects - insulin","operator effects insulin"
"IMPC_EXD_094_001","39081"," operator effects - embryo lac z collection","operator effects embryo lac z collection"
"IMPC_EXD_095_001","39082"," operator effects - embryo lac z annotation","operator effects embryo lac z annotation"
"IMPC_EXD_096_001","39083"," operator effects - adult lac z collection","operator effects adult lac z collection"
"IMPC_EXD_097_001","39084"," operator effects - adult lac z annotation","operator effects adult lac z annotation"
"IMPC_EXD_098_001","39085"," time effects","time effects"
"IMPC_EXD_099_001","39086"," order effects - body weight","order effects body weight"
"IMPC_EXD_100_001","39087"," order effects - csd","order effects csd"
"IMPC_EXD_101_001","39088"," order effects - grip strength","order effects grip strength"
"IMPC_EXD_102_001","39089"," order effects - acoustic startle","order effects acoustic startle"
"IMPC_EXD_103_001","39090"," order effects - calorimetry","order effects calorimetry"
"IMPC_EXD_104_001","39091"," order effects - ipgtt","order effects ipgtt"
"IMPC_EXD_105_001","39092"," order effects - abr collection","order effects abr collection"
"IMPC_EXD_106_001","39093"," order effects - abr annotation","order effects abr annotation"
"IMPC_EXD_107_001","39094"," order effects - dexa","order effects dexa"
"IMPC_EXD_108_001","39095"," order effects - x-ray imaging","order effects x ray imaging"
"IMPC_EXD_109_001","39096"," order effects - x-ray annotation","order effects x ray annotation"
"IMPC_EXD_110_001","39097"," order effects - slit lamp","order effects slit lamp"
"IMPC_EXD_111_001","39098"," order effects - ophthalmoscope","order effects ophthalmoscope"
"IMPC_EXD_112_001","39099"," order effects - hematology","order effects hematology"
"IMPC_EXD_113_001","39100"," order effects - clinical chemistry","order effects clinical chemistry"
"IMPC_EXD_114_001","39101"," order effects - immunophenotyping","order effects immunophenotyping"
"IMPC_EXD_115_001","39102"," order effects - heart weight","order effects heart weight"
"IMPC_EXD_116_001","39103"," order effects - open field","order effects open field"
"IMPC_EXD_117_001","39104"," order effects - gross pathology collection","order effects gross pathology collection"
"IMPC_EXD_118_001","39105"," order effects - gross pathology annotation","order effects gross pathology annotation"
"IMPC_EXD_119_001","39106"," order effects - ecg","order effects ecg"
"IMPC_EXD_120_001","39107"," order effects - echo","order effects echo"
"IMPC_EXD_121_001","39108"," order effects - plethysmography","order effects plethysmography"
"IMPC_EXD_122_001","39109"," order effects - insulin","order effects insulin"
"IMPC_EXD_123_001","39110"," order effects - embryo lac z","order effects embryo lac z"
"IMPC_EXD_124_001","39111"," order effects - adult lac z","order effects adult lac z"
"IMPC_EXD_125_001","39112"," subject selection - abr","subject selection abr"
"IMPC_EXD_126_001","39113"," subject selection - gross pathology","subject selection gross pathology"
"IMPC_VIA_034_001","66104"," gene category","Type of gene inheritance pattern"
"IMPC_VIA_035_001","66105"," male parents genotype","Genotype of male parent(s)"
"IMPC_VIA_036_001","66106"," female parents genotype","Genotype of female parent(s)"
"IMPC_VIA_037_001","66107"," litter male parent specimen id","ID of male parent of litter"
"IMPC_VIA_038_001","66108"," litter female parent 1 specimen id","ID of female parent"
"IMPC_VIA_039_001","66109"," litter female parent 2 specimen id","ID of optional second female parent for trio matings"
"IMPC_VIA_040_001","66110"," litter date of birth","Date of birth of litter"
"IMPC_VIA_041_001","66111"," number of wt males","Number of wild-type males in litter or total wild-type males if litter data is not available"
"IMPC_VIA_042_001","66112"," number of wt females","Number of wild-type females in litter or total wild-type females if litter data is not available"
"IMPC_VIA_043_001","66113"," number of heterozygous males","Number of heterozygous males in litter or total heterozygous males if litter data is not available"
"IMPC_VIA_044_001","66114"," number of heterozygous females","Number of heterozygous females in litter or total heterozygous females if litter data is not available"
"IMPC_VIA_045_001","66115"," number of homozygous males","Number of homozygous males in litter or total homozygous males if litter data is not available"
"IMPC_VIA_046_001","66116"," number of homozygous females","Number of homozygous females in litter or total homozygousfe males if litter data is not available"
"IMPC_VIA_047_001","66117"," number of hemizygous males","Number of hemizygous males in litter or total hemizygous males if litter data is not available"
"IMPC_VIA_048_001","66118"," number of anzygous females","Number of anzygous (i.e. no copies of gene as it is Y-chromosome) females in litter or total anzygous females if litter data is not available"
"IMPC_VIA_049_001","66119"," total wt males","Total wild-type males"
"IMPC_VIA_050_001","66120"," total wt females","Total wild-type females"
"IMPC_VIA_051_001","66121"," total heterozygous males","Total heterozygous males"
"IMPC_VIA_052_001","66122"," total heterozygous females","Total heterozygous females"
"IMPC_VIA_053_001","66123"," total homozygous males","Total homozygous males"
"IMPC_VIA_054_001","66124"," total homozygous females","Total homozygous males"
"IMPC_VIA_055_001","66125"," total of hemizygous males","Total hemizygous males"
"IMPC_VIA_056_001","66126"," total anzygous females","Total anzygous (i.e. no copies of gene as it is Y-chromosome) females"
"IMPC_VIA_057_001","66127"," total pups","Total pups"
"IMPC_VIA_058_001","66128"," total wts","Total wild-type pups"
"IMPC_VIA_059_001","66129"," total heterozygotes","Total heterozygous pups"
"IMPC_VIA_060_001","66130"," total homozygotes","Total homozygous pups"
"IMPC_VIA_061_001","66131"," total males","Total male pups"
"IMPC_VIA_062_001","66132"," total females","Total female pups"
"IMPC_VIA_026_001","66133"," female age earliest start",""
"IMPC_VIA_027_001","66134"," female age oldest end",""
"IMPC_VIA_030_001","66135"," age of pups at genotype",""
"IMPC_VIA_063_001","71972"," homozygous males viability","Outcome of viability assessment for homozygous males"
"IMPC_VIA_064_001","71973"," homozygous females viability","Outcome of viability assessment for homozygous females"
"IMPC_VIA_065_001","71974"," hemizygous males viability","Outcome of viability assessment for hemizygous males"
"IMPC_VIA_066_001","71975"," heterozygous animals viability","Outcome of viability assessment for heterozygous animals"
"IMPC_VIA_067_001","71976"," homozygous animals viability","Outcome of viability assessment for homozygous animals"
"IMPC_VIA_068_001","92576"," embryo vignette","Poster style vignette to highlight the embryo development for a line"
"IMPC_ECG_001_001","47596"," number of signals",""
"IMPC_ECG_002_001","47597"," hr",""
"IMPC_ECG_003_001","47598"," cv",""
"IMPC_ECG_004_001","47599"," rr",""
"IMPC_ECG_005_001","47600"," pq",""
"IMPC_ECG_006_001","47601"," pr",""
"IMPC_ECG_007_001","47602"," qrs",""
"IMPC_ECG_008_001","47603"," st",""
"IMPC_ECG_010_001","47604"," hrv",""
"IMPC_ECG_011_001","47605"," qtc dispersion",""
"IMPC_ECG_012_001","47606"," mean sr amplitude",""
"IMPC_ECG_013_001","47607"," mean r amplitude",""
"IMPC_ECG_014_001","47608"," rmssd",""
"IMPC_ECG_015_001","47609"," pnn5(6>ms)",""
"IMPC_ECG_016_001","47610"," equipment id",""
"IMPC_ECG_017_001","47611"," equipment manufacturer",""
"IMPC_ECG_018_001","47612"," equipment model",""
"IMPC_ECG_019_001","47613"," anesthetic",""
"IMPC_ECG_020_001","47614"," experimenter id",""
"IMPC_ECG_021_001","47615"," noise level",""
"IMPC_ECG_022_001","47616"," light level",""
"IMPC_ECG_023_001","47617"," date equipment last calibrated",""
"IMPC_ECG_009_002","47618"," qtc",""
"IMPC_ECG_024_001","47619"," analysis software",""
"IMPC_ECG_025_001","47620"," waveform image",""
"IMPC_ECG_026_001","47621"," waveform image comment","Free text comment on the waveform image. Use parameterAssociation of the image parameter to link to this text."
"IMPC_ECG_027_001","74751"," lead configuration",""
"IMPC_DXA_001_001","18988"," body weight","body weight"
"IMPC_DXA_002_001","18989"," fat mass","fat mass"
"IMPC_DXA_003_001","18990"," lean mass","lean mass"
"IMPC_DXA_004_001","18991"," bone mineral density (excluding skull)","bone mineral density excluding skull "
"IMPC_DXA_005_001","18992"," bone mineral content (excluding skull)","bone mineral content excluding skull "
"IMPC_DXA_006_001","18993"," body length","body length"
"IMPC_DXA_007_001","18994"," bmc/body weight","bmc body weight"
"IMPC_DXA_008_001","18995"," lean/body weight","lean body weight"
"IMPC_DXA_009_001","18996"," fat/body weight","fat body weight"
"IMPC_DXA_010_001","18997"," bone area","bone area bmc bmd "
"IMPC_DXA_011_001","18998"," equipment id","equipment name"
"IMPC_DXA_012_001","18999"," equipment manufacturer","equipment manufactuer"
"IMPC_DXA_013_001","19000"," equipment model","equipment model"
"IMPC_DXA_014_001","19001"," mouse status","mouse status"
"IMPC_DXA_015_001","19002"," anesthesia","anesthesia"
"IMPC_DXA_016_001","19003"," experimenter id",""
"IMPC_DXA_017_001","19004"," date equipment last calibrated",""
"IMPC_DXA_018_001","19005"," haw",""
"IMPC_CBC_001_001","30278"," sodium","sodium"
"IMPC_CBC_002_001","30279"," potassium","potassium"
"IMPC_CBC_003_001","30280"," chloride","chloride"
"IMPC_CBC_004_001","30281"," urea (blood urea nitrogen - bun)","urea"
"IMPC_CBC_005_001","30282"," creatinine","creatinine enzymatic method preferred "
"IMPC_CBC_006_001","30283"," total protein","total protein"
"IMPC_CBC_007_001","30284"," albumin","albumin"
"IMPC_CBC_008_001","30285"," total bilirubin","total bilirubin"
"IMPC_CBC_009_001","30286"," calcium","calcium"
"IMPC_CBC_010_001","30287"," phosphorus","phosphate"
"IMPC_CBC_011_001","30288"," iron","iron"
"IMPC_CBC_012_001","30289"," aspartate aminotransferase","aspartate aminotransferase"
"IMPC_CBC_013_001","30290"," alanine aminotransferase","alanine aminotransferase"
"IMPC_CBC_014_001","30291"," alkaline phosphatase","alkaline phosphatase"
"IMPC_CBC_015_001","30292"," total cholesterol","total cholesterol"
"IMPC_CBC_016_001","30293"," hdl-cholesterol","hdl cholesterol"
"IMPC_CBC_017_001","30294"," triglycerides","triglycerides"
"IMPC_CBC_018_001","30295"," glucose","glucose"
"IMPC_CBC_019_001","30296"," lih (hemolysis severity - available on au analysers)","lih hemolysis severity available on au analysers "
"IMPC_CBC_020_001","30297"," fructosamine","fructosamine"
"IMPC_CBC_021_001","30298"," lipase","lipase"
"IMPC_CBC_022_001","30299"," lactate dehydrogenase","lactate dehydrogenase"
"IMPC_CBC_023_001","30300"," alpha-amylase","alpha amylase"
"IMPC_CBC_024_001","30301"," uibc (unsaturated iron binding capacity)","uibc unsaturated iron binding capacity "
"IMPC_CBC_025_001","30302"," ldl-cholesterol","ldl cholesterol"
"IMPC_CBC_026_001","30303"," free fatty acids","free fatty acids"
"IMPC_CBC_027_001","30304"," glycerol","glycerol"
"IMPC_CBC_028_001","30305"," creatine kinase","creatine kinase"
"IMPC_CBC_029_001","30306"," uric acid","uric acid"
"IMPC_CBC_030_001","30307"," ferritin","ferritin"
"IMPC_CBC_031_001","30308"," transferrin","transferrin"
"IMPC_CBC_032_001","30309"," c-reactive protein","c reactive protein"
"IMPC_CBC_033_001","30310"," equipment id","equipment name"
"IMPC_CBC_034_001","30311"," equipment manufacturer","equipment manufacturer"
"IMPC_CBC_035_001","30312"," equipment model","equipment model"
"IMPC_CBC_036_001","30313"," anesthesia used for blood collection","anesthesia used for blood collection"
"IMPC_CBC_037_001","30314"," method of blood collection","method of blood collection"
"IMPC_CBC_038_001","30315"," anticoagulant","anticoagulant"
"IMPC_CBC_042_001","30316"," samples kept on ice between collection and analysis","samples kept on ice between collection and analysis"
"IMPC_CBC_043_001","30317"," sample status","sample status"
"IMPC_CBC_044_001","30318"," sample dilution","plasma dilution"
"IMPC_CBC_045_001","30319"," id of blood collection sop","id of blood collection sop"
"IMPC_CBC_046_001","30320"," date and time of blood collection","date and time of blood collection"
"IMPC_CBC_048_001","30321"," hemolysis status","hemolysis status"
"IMPC_CBC_049_001","30322"," blood collection experimenter id",""
"IMPC_CBC_050_001","30323"," date equipment last calibrated",""
"IMPC_CBC_039_001","30324"," blood collection tubes",""
"IMPC_CBC_040_001","30325"," date and time of sacrifice",""
"IMPC_CBC_041_001","30326"," storage temperature from blood collection till measurement",""
"IMPC_CBC_051_001","30327"," blood analysis experimenter id",""
"IMPC_CBC_052_001","30328"," glycosilated hemoglobin a1c (hba1c)",""
"IMPC_CBC_053_001","30329"," thyroxine",""
"IMPC_CBC_054_001","30330"," magnesium",""
"IMPC_CBC_055_001","30331"," difficult bleed",""
"IMPC_OWT_001_001","47813"," body weight","body weight"
"IMPC_OWT_002_001","47814"," spleen weight","spleen weight"
"IMPC_OWT_003_001","47815"," left kidney weight","left kidney weight"
"IMPC_OWT_004_001","47816"," right kidney weight","right kidney weight"
"IMPC_OWT_005_001","47817"," epididymis weight","epididymis weight"
"IMPC_OWT_007_001","47819"," seminal vesicle weight","seminal vesicle weight"
"IMPC_OWT_008_001","47820"," spleen weight to body weight ratio","spleen weight to body weight ratio"
"IMPC_OWT_009_001","47821"," left kidney weight to body weight ratio","left kidney weight to body weight ratio"
"IMPC_OWT_010_001","47822"," right kidney weight to body weight ratio","right kidney weight to body weight ratio"
"IMPC_OWT_012_001","47824"," epididymis weight to body weight ratio","epididymis weight to body weight ratio"
"IMPC_OWT_013_001","47825"," seminal vesicle weight to body weight ratio","seminal vesicle weight to body weight ratio"
"IMPC_OWT_014_001","47826"," experimenter id","experimenter id"
"IMPC_OWT_015_001","47827"," date of sacrifice","date of sacrifice"
"IMPC_OWT_016_001","47828"," method of sacrifice","method of sacrifice"
"IMPC_OWT_017_001","47829"," equipment id","equipment id"
"IMPC_OWT_018_001","47830"," date equipment last calibrated","date equipment last calibrated"
"IMPC_OWT_019_001","47831"," equipment manufacturer","equipment manufacturer"
"IMPC_OWT_020_001","47832"," equipment model","equipment model"
"IMPC_OWT_021_001","73974"," left testis weight","left testis weight"
"IMPC_OWT_022_001","73975"," right testis weight","right testis weight"
"IMPC_OWT_023_001","73976"," whole liver weight","whole liver weight"
"IMPC_OWT_024_001","73977"," right lung all lobes weight","right lung all lobes weight"
"IMPC_OWT_025_001","73978"," left lung weight","left lung weight"
"IMPC_OWT_026_001","73979"," left testis weight to body weight ratio","left testis weight to body weight ratio"
"IMPC_OWT_027_001","73980"," right testis weight to body weight ratio","right testis weight to body weight ratio"
"IMPC_OWT_028_001","73981"," whole liver weight to body weight ratio","whole liver weight to body weight ratio"
"IMPC_OWT_029_001","73982"," right lung all lobes weight to body weight ratio","right lung all lobes weight to body weight ratio"
"IMPC_OWT_030_001","73983"," left lung weight to body weight ratio","left lung weight to body weight ratio"
"IMPC_OWT_031_001","74113"," whole lung weight","whole lung weight"
"IMPC_XRY_001_001","19236"," skull shape","skull shape"
"IMPC_XRY_002_001","19237"," zygomatic bone","zygomatic bone"
"IMPC_XRY_003_001","19238"," maxilla/pre-maxilla","maxilla"
"IMPC_XRY_004_001","19239"," mandibles","mandibles"
"IMPC_XRY_005_001","19240"," teeth","teeth"
"IMPC_XRY_006_001","19241"," scapulae","scapulae"
"IMPC_XRY_007_001","19242"," clavicle","clavicle"
"IMPC_XRY_008_001","19243"," number of ribs right","number of ribs right"
"IMPC_XRY_009_001","19244"," number of ribs left","number of ribs left"
"IMPC_XRY_010_001","19245"," shape of ribs","shape of ribs"
"IMPC_XRY_011_001","19246"," fusion of ribs","fusion of ribs"
"IMPC_XRY_012_001","19247"," pelvis","pelvis"
"IMPC_XRY_013_001","19248"," number of cervical vertebrae","number of cervical vertebrae"
"IMPC_XRY_014_001","19249"," number of thoracic vertebrae","number of thoracic vertebrae"
"IMPC_XRY_015_001","19250"," number of lumbar vertebrae","number of lumbar vertebrae"
"IMPC_XRY_016_001","19251"," number of pelvic vertebrae","number of pelvic vertebrae"
"IMPC_XRY_017_001","19252"," number of caudal vertebrae","number of caudal vertebrae"
"IMPC_XRY_018_001","19253"," shape of vertebrae","shape of vertebrae"
"IMPC_XRY_019_001","19254"," fusion of vertebrae","fusion of vertebrae"
"IMPC_XRY_020_001","19255"," processes on vertebrae","processes on vertebrae"
"IMPC_XRY_021_001","19256"," humerus","humerus"
"IMPC_XRY_022_001","19257"," radius","radius"
"IMPC_XRY_023_001","19258"," ulna","ulna"
"IMPC_XRY_024_001","19259"," femur","femur"
"IMPC_XRY_025_001","19260"," tibia","tibia"
"IMPC_XRY_026_001","19261"," fibula","fibula"
"IMPC_XRY_027_001","19262"," joints","joints"
"IMPC_XRY_028_001","19263"," number of digits","number of digits"
"IMPC_XRY_029_001","19264"," syndactylism","syndactylism"
"IMPC_XRY_030_001","19265"," brachydactyly","completeness of digits"
"IMPC_XRY_031_001","19266"," digit integrity","digit integrity"
"IMPC_XRY_032_001","19267"," comment on xray image","comment on xray image"
"IMPC_XRY_033_001","19268"," tibia length","tibia length"
"IMPC_XRY_034_001","19269"," xray images whole body dorso ventral","xray images"
"IMPC_XRY_035_001","19270"," alive","alive"
"IMPC_XRY_036_001","19271"," xray equipment id","xray equipment name"
"IMPC_XRY_037_001","19272"," xray equipment manufacturer","xray equipment manufacturer"
"IMPC_XRY_038_001","19273"," xray equipment model","xray equipment model"
"IMPC_XRY_039_001","19274"," settings time of exposure","settings time of exposure"
"IMPC_XRY_040_001","19275"," settings level","settings level"
"IMPC_XRY_041_001","19276"," experimenter id (scan)","experimenter scan "
"IMPC_XRY_042_001","19277"," experimenter id (analysis)","experimenter analysis "
"IMPC_XRY_043_001","19278"," voltage settings","voltage settings"
"IMPC_XRY_044_001","19279"," scanner equipment id","scanner equipment name"
"IMPC_XRY_045_001","19280"," scanner equipment manufacturer","scanner equipment manufacturer"
"IMPC_XRY_046_001","19281"," scanner equipment model","scanner equipment model"
"IMPC_XRY_047_001","19282"," date xray equipment last calibrated",""
"IMPC_XRY_048_001","19283"," xray images whole body lateral orientation",""
"IMPC_XRY_049_001","19284"," xray images forepaw",""
"IMPC_XRY_050_001","19285"," xray images skull lateral orientation",""
"IMPC_XRY_051_001","19286"," xray images skull dorso ventral orientation",""
"IMPC_XRY_052_001","19287"," xray images hind leg and hip",""
"IMPC_XRY_053_001","19288"," date scanner equipment last calibrated",""
"IMPC_XRY_054_001","19289"," free ontology",""
"IMPC_XRY_055_001","19290"," shape of spine",""
"IMPC_XRY_056_001","19291"," scoliosis",""
"IMPC_XRY_057_001","19292"," kyphosis",""
"IMPC_XRY_058_001","19293"," lordosis",""
"IMPC_XRY_059_001","19294"," shape of ribcage",""
"IMPC_XRY_060_001","19295"," transitional vertebrae",""
"IMPC_XRY_061_001","19296"," fusion of processes",""
"IMPC_XRY_062_001","19297"," polysyndactylism",""
"IMPC_XRY_063_001","19298"," cervical processes",""
"IMPC_XRY_064_001","19299"," thoracic processes",""
"IMPC_XRY_065_001","19300"," lumbar processes",""
"IMPC_XRY_066_001","19301"," sacral processes",""
"IMPC_XRY_067_001","19302"," caudal processes",""
"IMPC_XRY_068_001","19303"," missing cranial rib",""
"IMPC_XRY_069_001","57175"," rib morphology","rib morphology"
"IMPC_XRY_070_001","57176"," cervical vertebrae morphology","cervical vertebrae morphology"
"IMPC_XRY_071_001","57177"," thoracic vertebrae morphology","thoracic vertebrae morphology"
"IMPC_XRY_072_001","57178"," lumbar vertebrae morphology","lumbar vertebrae morphology"
"IMPC_XRY_073_001","57179"," pelvic vertebrae morphology","pelvic vertebrae morphology"
"IMPC_XRY_074_001","57180"," caudal vertebrae morphology","caudal vertebrae morphology"
"IMPC_GPL_001_001","40004"," placenta development","placenta development"
"IMPC_GPL_002_001","40005"," placenta morphology","placenta morphology"
"IMPC_GPL_003_001","40006"," placenta vasculature","placenta vasculature"
"IMPC_GPL_004_001","40007"," placenta size","placenta size"
"IMPC_GPL_005_001","40008"," umbilical cord morphology","umbilical cord morphology"
"IMPC_GPL_006_001","40009"," comment on image","comment on image"
"IMPC_GPL_007_001","40010"," images","images"
"IMPC_GPL_008_001","40011"," experimenter id","experimenter id"
"IMPC_GPL_009_001","40012"," equipment id","equipment id"
"IMPC_GPL_010_001","40013"," equipment manufacturer","equipment manufacturer"
"IMPC_GPL_011_001","40014"," equipment model","equipment model"
"IMPC_GPL_012_001","40015"," fixative","fixative"
"IMPC_GPL_013_001","40016"," time of dissection","time of dissection"
"IMPC_GPL_014_001","40017"," somite stage","somite stage"
"IMPC_GPL_015_001","40018"," time of dark cycle start","time of dark cycle start"
"IMPC_GPL_016_001","40019"," time of dark cycle end","time of dark cycle end"
"IMPC_GPL_017_001","40020"," date equipment last calibrated","date equipment last calibrated"
"IMPC_HIS_001_001","47968"," brain - mpath diagnostic term",""
"IMPC_HIS_002_001","47969"," brain - free text diagnostic term",""
"IMPC_HIS_003_001","47970"," brain - mpath process term",""
"IMPC_HIS_004_001","47971"," brain - severity score",""
"IMPC_HIS_005_001","47972"," brain - descriptor pato",""
"IMPC_HIS_006_001","47973"," brain - description",""
"IMPC_HIS_007_001","47974"," eye with optic nerve - mpath diagnostic term",""
"IMPC_HIS_008_001","47975"," eye with optic nerve - free text diagnostic term",""
"IMPC_HIS_009_001","47976"," eye with optic nerve - mpath process term",""
"IMPC_HIS_010_001","47977"," eye with optic nerve - severity score",""
"IMPC_HIS_011_001","47978"," eye with optic nerve - descriptor pato",""
"IMPC_HIS_012_001","47979"," eye with optic nerve - description",""
"IMPC_HIS_013_001","47980"," spinal cord - mpath diagnostic term",""
"IMPC_HIS_014_001","47981"," spinal cord - free text diagnostic term",""
"IMPC_HIS_015_001","47982"," spinal cord - mpath process term",""
"IMPC_HIS_016_001","47983"," spinal cord - severity score",""
"IMPC_HIS_017_001","47984"," spinal cord - descriptor pato",""
"IMPC_HIS_018_001","47985"," spinal cord - description",""
"IMPC_HIS_019_001","47986"," thymus - mpath diagnostic term",""
"IMPC_HIS_020_001","47987"," thymus - free text diagnostic term",""
"IMPC_HIS_021_001","47988"," thymus - mpath process term",""
"IMPC_HIS_022_001","47989"," thymus - severity score",""
"IMPC_HIS_023_001","47990"," thymus - descriptor pato",""
"IMPC_HIS_024_001","47991"," thymus - description",""
"IMPC_HIS_025_001","47992"," thyroid - mpath diagnostic term",""
"IMPC_HIS_026_001","47993"," thyroid - free text diagnostic term",""
"IMPC_HIS_027_001","47994"," thyroid - mpath process term",""
"IMPC_HIS_028_001","47995"," thyroid - severity score",""
"IMPC_HIS_029_001","47996"," thyroid - descriptor pato",""
"IMPC_HIS_030_001","47997"," thyroid - description",""
"IMPC_HIS_031_001","47998"," heart - mpath diagnostic term",""
"IMPC_HIS_032_001","47999"," heart - free text diagnostic term",""
"IMPC_HIS_033_001","48000"," heart - mpath process term",""
"IMPC_HIS_034_001","48001"," heart - severity score",""
"IMPC_HIS_035_001","48002"," heart - descriptor pato",""
"IMPC_HIS_036_001","48003"," heart - description",""
"IMPC_HIS_037_001","48004"," trachea - mpath diagnostic term",""
"IMPC_HIS_038_001","48005"," trachea - free text diagnostic term",""
"IMPC_HIS_039_001","48006"," trachea - mpath process term",""
"IMPC_HIS_040_001","48007"," trachea - severity score",""
"IMPC_HIS_041_001","48008"," trachea - descriptor pato",""
"IMPC_HIS_042_001","48009"," trachea - description",""
"IMPC_HIS_043_001","48010"," esophagus - mpath diagnostic term",""
"IMPC_HIS_044_001","48011"," esophagus - free text diagnostic term",""
"IMPC_HIS_045_001","48012"," esophagus - mpath process term",""
"IMPC_HIS_046_001","48013"," esophagus - severity score",""
"IMPC_HIS_047_001","48014"," esophagus - descriptor pato",""
"IMPC_HIS_048_001","48015"," esophagus - description",""
"IMPC_HIS_049_001","48016"," lung - mpath diagnostic term",""
"IMPC_HIS_050_001","48017"," lung - free text diagnostic term",""
"IMPC_HIS_051_001","48018"," lung - mpath process term",""
"IMPC_HIS_052_001","48019"," lung - severity score",""
"IMPC_HIS_053_001","48020"," lung - descriptor pato",""
"IMPC_HIS_054_001","48021"," lung - description",""
"IMPC_HIS_055_001","48022"," liver - mpath diagnostic term",""
"IMPC_HIS_056_001","48023"," liver - free text diagnostic term",""
"IMPC_HIS_057_001","48024"," liver - mpath process term",""
"IMPC_HIS_058_001","48025"," liver - severity score",""
"IMPC_HIS_059_001","48026"," liver - descriptor pato",""
"IMPC_HIS_060_001","48027"," liver - description",""
"IMPC_HIS_061_001","48028"," gall bladder - mpath diagnostic term",""
"IMPC_HIS_062_001","48029"," gall bladder - free text diagnostic term",""
"IMPC_HIS_063_001","48030"," gall bladder - mpath process term",""
"IMPC_HIS_064_001","48031"," gall bladder - severity score",""
"IMPC_HIS_065_001","48032"," gall bladder - descriptor pato",""
"IMPC_HIS_066_001","48033"," gall bladder - description",""
"IMPC_HIS_067_001","48034"," stomach - mpath diagnostic term",""
"IMPC_HIS_068_001","48035"," stomach - free text diagnostic term",""
"IMPC_HIS_069_001","48036"," stomach - mpath process term",""
"IMPC_HIS_070_001","48037"," stomach - severity score",""
"IMPC_HIS_071_001","48038"," stomach - descriptor pato",""
"IMPC_HIS_072_001","48039"," stomach - description",""
"IMPC_HIS_073_001","48040"," small intestine - mpath diagnostic term",""
"IMPC_HIS_074_001","48041"," small intestine - free text diagnostic term",""
"IMPC_HIS_075_001","48042"," small intestine - mpath process term",""
"IMPC_HIS_076_001","48043"," small intestine - severity score",""
"IMPC_HIS_077_001","48044"," small intestine - descriptor pato",""
"IMPC_HIS_078_001","48045"," small intestine - description",""
"IMPC_HIS_079_001","48046"," large intestine - mpath diagnostic term",""
"IMPC_HIS_080_001","48047"," large intestine - free text diagnostic term",""
